States,x,y
Jammu & Kshmir,-128,254
Himachal Pradesh,-99,200
Chandigarh,-104,180
Panjab,-131,178
Uttarakhand,-60,163
Haryana,-116,141
Delhi,-95,129
Uttar Pradesh,-26,92
Bihar,66,65
Sikkim,114,109
West Bengal,101,12
Jharkhand,60,17
Meghalaya,171,72
Assam,197,89
Arunachal Pradesh,221,133
Tripura,180,33
Mizorama,206,29
Manipur,220,58
Nagaland,229,92
Rajasthan,-160,89
Gujarat,-214,17
Madhya Pradesh,-90,17
Chhattisgarh,-8,-30
Odisa,40,-47
Telangana,-65,-142
Maharashtra,-137,-75
Karnataka,-141,-178
Andhra Pradesh,-79,-163
Puducherry,-59,-227
Tamil Nadu,-87,-255
Kerala,-114,-273
Lakshadweep,-133,-234
Goa,-171,-157
Dadara & Nagar Havelli,-179,-40
Daman & Diu,-235,-37
